Isolate name,Standardized name,Isolation,Ecological origins,Geographical origins,HO deletion,Plasmid class,Plasmid CN,Ploidy,Aneuploidies,Zygosity,Total number of SNPs,Proportion of clean heterozygous SNPs (whole dataset),Number of singletons,Mean coverage,Clades
CBS7959,AFR,Factory producing ethanol (sugar cane syrup),Industrial,"Sao Paulo, Brazil",yes,A,21,1,aneu;+1*1;,homozygous,"50,923",0,465,251,Brazilian bioethanol 
RP.10.14,BVC,Bioethanol,Bioethanol,Brazil,no,B,6,2,euploid,heterozygous,"62,879",39.9,459,190,Brazilian bioethanol 
CBS7962,AEG,Fermenting concentrated syrup (sugar cane),Industrial,Brazil,yes,B,77,1,euploid,homozygous,"52,280",0,227,255,Brazilian bioethanol 
CBS7961,AGM,Fermenting concentrated syrup (sugar cane),Industrial,"Sao Paulo, Brazil",yes,B,23,1,euploid,homozygous,"53,519",0,266,434,Brazilian bioethanol 
SA.10.1.VL1,CNQ,Bioethanol,Bioethanol,Brazil,no,B,10,2,euploid,heterozygous,"66,761",51.4,261,239,Brazilian bioethanol 
CBS7964,AEH,Fermenting concentrated syrup (sugar cane),Industrial,Brazil,yes,B,85,1,euploid,homozygous,"48,968",0,48,270,Brazilian bioethanol 
CBS7960,AFD,Factory producing ethanol (sugar cane syrup),Industrial,"Sao Paulo, Brazil",yes,A,41,1,euploid,homozygous,"25,931",0,112,185,Brazilian bioethanol 
CBS7963,AHC,Fermenting concentrated syrup (sugar cane),Industrial,"Sao Paulo, Brazil",yes,A,39,1,euploid,homozygous,"48,580",0,61,186,Brazilian bioethanol 
M.9.1,BTT,Cachaça,Distillery,Brazil,no,B,5,2,euploid,heterozygous,"60,639",39.2,165,188,Brazilian bioethanol 
M1.1,APH,"Cachaça, Muller Industrial",Distillery,"Pirassununga, Sao Paulo, Brazil",no,B,24,2,euploid,heterozygous,"59,578",35.9,77,207,Brazilian bioethanol 
M.14.1,BTV,Cachaça,Distillery,Brazil,no,B,11,2,euploid,heterozygous,"60,250",37.6,87,214,Brazilian bioethanol 
RP.10.4,BVA,Bioethanol,Bioethanol,Brazil,no,B,14,2,euploid,heterozygous,"60,841",39.5,281,247,Brazilian bioethanol 
SM.9.4.BR2,CMT,Bioethanol,Bioethanol,Brazil,no,C,106,2,euploid,heterozygous,"56,241",29.2,35,115,Brazilian bioethanol 
SM.8.7.BR1,CNG,Bioethanol,Bioethanol,Brazil,no,C,37,2,euploid,heterozygous,"60,821",39.5,44,212,Brazilian bioethanol 
SA.1.5.,CNK,Bioethanol,Bioethanol,Brazil,no,B,14,2,euploid,heterozygous,"57,724",29.5,114,349,Brazilian bioethanol 
VF8_(6),APG,"Bioethanol, Sao Joao sugar mill",Bioethanol,"Araras, Sao Paulo, Brazil",no,B,15,1,euploid,homozygous,"48,006",0,69,263,Brazilian bioethanol 
SA.9.3.VR1,CNM,Bioethanol,Bioethanol,Brazil,no,B,9,2,euploid,heterozygous,"61,093",41.3,103,202,Brazilian bioethanol 
SA.9.4.BR2,CNP,Bioethanol,Bioethanol,Brazil,no,B,10,2,euploid,heterozygous,"58,538",37.1,91,164,Brazilian bioethanol 
SA.10.1.VR4,CNR,Bioethanol,Bioethanol,Brazil,no,B,17,2,euploid,heterozygous,"59,740",39.7,85,220,Brazilian bioethanol 
RP.10.13,BVB,Bioethanol,Bioethanol,Brazil,no,B,10,2,euploid,heterozygous,"63,401",46.3,236,249,Brazilian bioethanol 
SM.8.8.CVR1,CNI,Bioethanol,Bioethanol,Brazil,no,B,6,2,euploid,heterozygous,"61,424",37.8,131,289,Brazilian bioethanol 
SM.8.8.BL1,CNH,Bioethanol,Bioethanol,Brazil,no,A,4,2,euploid,heterozygous,"61,846",39.3,114,241,Brazilian bioethanol 
SM.9.4.BR1,BVH,Bioethanol,Bioethanol,Brazil,no,B,10,2,euploid,heterozygous,"58,661",46.3,5,71,Brazilian bioethanol 
SA.9.4.VL4,CNN,Bioethanol,Bioethanol,Brazil,no,B,18,2,euploid,heterozygous,"64,402",48.2,8,194,Brazilian bioethanol 
SM.8.7.L9,CNF,Bioethanol,Bioethanol,Brazil,no,B,9,2,euploid,heterozygous,"66,088",49.5,3,219,Brazilian bioethanol 
SM.8.2.C13,CNB,Bioethanol,Bioethanol,Brazil,no,B,32,2,euploid,heterozygous,"66,666",50,5,311,Brazilian bioethanol 
SM.9.4.BL2,BVG,Bioethanol,Bioethanol,Brazil,no,B,14,2,euploid,heterozygous,"66,469",49.7,5,263,Brazilian bioethanol 
SM.8.7.L8,CNE,Bioethanol,Bioethanol,Brazil,no,B,107,2,euploid,heterozygous,"65,319",48.8,4,188,Brazilian bioethanol 
SA.9.2.BL3,CNL,Bioethanol,Bioethanol,Brazil,no,B,10,2,aneu;+1*3;,heterozygous,"66,852",50,7,320,Brazilian bioethanol 
SM.9.1.AL1,BVD,Bioethanol,Bioethanol,Brazil,no,B,5,2,euploid,homozygous,"51,003",0,2,225,Brazilian bioethanol 
SM.9.2.BR3(L),BVF,Bioethanol,Bioethanol,Brazil,no,B,6,2,euploid,heterozygous,"63,282",41.2,7,243,Brazilian bioethanol 
RP11.4.1,CNS,Bioethanol,Bioethanol,Brazil,no,B,7,2,euploid,heterozygous,"61,973",39.7,1,171,Brazilian bioethanol 
RP11.4.11,CNT,Bioethanol,Bioethanol,Brazil,no,B,9,2,euploid,heterozygous,"62,369",39.6,5,214,Brazilian bioethanol 
SM.9.1.BL7,BVE,Bioethanol,Bioethanol,Brazil,no,B,20,1,euploid,homozygous,"48,315",0,8,254,Brazilian bioethanol 
RP11.4.14,CNV,Bioethanol,Bioethanol,Brazil,no,B,20,2,aneu;+1*6;,heterozygous,"57,314",31,63,316,Brazilian bioethanol 
CBS4734,AHB,Sugar cane juice,Nature,NA,yes,A,30,1,euploid,homozygous,"47,433",0,71,213,UN
YJM1250,SACE_YBQ,Sugar cane,Nature,NA,no,A,77,2,euploid,homozygous,"47,178",0,64,51,UN
N19-1C,CCL,Exudate of Quercus sp.,Tree,"Gelendzhik region, Caucasus, Russia",no,none,0,2,euploid,homozygous,"46,806",0,"2,703",298,Mediterranean oak 
2162,BBQ,"Forest soil, 30C",Soil,Hungary,no,none,0,2,euploid,homozygous,"45,547",0,18,238,Mediterranean oak 
2187,BBS,"Forest soil, 30C",Soil,Hungary,no,none,0,2,euploid,homozygous,"45,919",0,17,327,Mediterranean oak 
EXF-7197,BFP,Quercus sp.,Tree,Montenegro,no,none,0,2,euploid,homozygous,"45,472",0,"1,899",231,Mediterranean oak 
ZP_567,BTG,Quercus pyrenaica,Tree,"Portugal, Castelo de Vide,",no,none,0,2,euploid,homozygous,"46,473",0,"2,386",221,Mediterranean oak 
sample 50,CLC,Dead tree,Tree,"Bordeaux, France",no,none,0,2,aneu;+2*3;,homozygous,"45,668",0,6,182,Mediterranean oak 
sample 40,CLB,Tree leaves,Tree,"Bordeaux, France",no,none,0,2,euploid,homozygous,"45,988",0,6,264,Mediterranean oak 
sample 33,CLD,Flower,Flower,"Bordeaux, France",no,A,1,2,aneu;+2*3;,homozygous,"45,922",0,39,224,Mediterranean oak 
CBS420,AQM,Stracchino cheese,Dairy,Italy,no,none,0,2,aneu;+1*9;+1*16;,heterozygous,"65,641",19.2,"1,647",145,French dairy 
EXF-7145,BFN,Quercus robur,Tree,Serbia,no,none,0,2,aneu;+1*10;,heterozygous,"48,250",39.6,"1,104",49,French dairy 
368428S,BME,Human,Human,"RVI Newcastle, UK",no,none,0,3,aneu;+1*9;,heterozygous,"96,403",66,"6,964",325,French dairy 
CBS2421,ARS,Japanese kefyr grains,Nature,NA,no,none,0,2,aneu;+1*1;,heterozygous,"66,561",36,"2,073",115,French dairy 
CBS2246,ARN,Sputum,"Human, clinical",Netherlands,no,none,0,3,euploid,heterozygous,"82,868",48.1,"6,789",202,French dairy 
CLIB560,BGM,"Dairy, cheese (camembert)",Dairy,"Normandy, France",no,none,0,2,euploid,heterozygous,"71,621",29.2,349,255,French dairy 
CLIB562,BGP,"Dairy, cheese (camembert)",Dairy,"Normandy, France",no,none,0,2,euploid,heterozygous,"67,376",32.8,295,74,French dairy 
EXF-5871,BFH,Homemade cheese,Dairy,Slovenia,no,none,0,2,euploid,heterozygous,"73,794",35.8,"1,911",258,French dairy 
CLIB564,BGR,"Dairy, cheese (camembert)",Dairy,"Normandy, France",no,none,0,2,aneu;+1*12;,heterozygous,"74,328",34.4,918,219,French dairy 
CLIB630,ASN,Dairy cheese (camembert),Dairy,"Normandy, France",no,none,0,2,euploid,heterozygous,"75,239",38.4,96,248,French dairy 
CLIB558,BGK,"Dairy, cheese (camembert)",Dairy,"Normandy, France",no,none,0,2,euploid,heterozygous,"75,031",39.1,84,242,French dairy 
CLIB631,BGS,"Dairy, cheese (camembert)",Dairy,"Normandy, France",no,none,0,2,aneu;+1*10;,heterozygous,"73,029",36.4,134,235,French dairy 
CLIB552,BGD,"Dairy, cheese (camembert)",Dairy,"Normandy, France",no,none,0,2,euploid,heterozygous,"70,440",27.1,126,231,French dairy 
CLIB557,BGI,"Dairy, cheese (camembert)",Dairy,"Normandy, France",no,none,0,2,euploid,heterozygous,"74,022",36.2,84,231,French dairy 
CLQCA_13-023,ALD,Wax on rock surface,Nature,"Bolivar, Ecuador",no,none,0,2,euploid,heterozygous,"70,912",27.4,483,221,French dairy 
CLIB546,BFS,"Dairy, cheese (camembert)",Dairy,"Normandy, France",no,none,0,2,euploid,heterozygous,"72,707",29.3,191,220,French dairy 
CLIB550,BGB,"Dairy, cheese (camembert)",Dairy,"Normandy, France",no,none,0,2,euploid,heterozygous,"72,631",28.6,148,218,French dairy 
CLIB554,BGF,"Dairy, brine",Dairy,France,no,none,0,2,euploid,heterozygous,"73,587",31.3,30,225,French dairy 
CLIB555,BGG,"Dairy, brine",Dairy,France,no,none,0,2,aneu;+1*11;,heterozygous,"74,436",33.2,23,229,French dairy 
CBS2272,ARR,Butter milk,Dairy,"Delft, Netherlands",no,none,0,2,aneu;+1*1;+1*3;,heterozygous,"66,719",5.4,95,199,French dairy 
CLIB547,BFT,"Dairy, cheese (camembert)",Dairy,"Normandy, France",no,none,0,2,euploid,heterozygous,"69,298",13.8,261,208,French dairy 
CLIB553,BGE,"Dairy, raw milk",Dairy,"Normandy, France",no,none,0,2,euploid,heterozygous,"69,299",12.9,121,225,French dairy 
CLIB559,BGL,"Dairy, cheese (camembert)",Dairy,"Normandy, France",no,none,0,2,euploid,heterozygous,"74,555",31.8,150,267,French dairy 
CLIB548,BFV,"Dairy, cheese (camembert)",Dairy,"Normandy, France",no,none,0,2,aneu;+1*11;,heterozygous,"74,218",33.3,51,213,French dairy 
CLIB549,BGA,"Dairy, cheese (camembert)",Dairy,"Normandy, France",no,none,0,2,euploid,heterozygous,"73,861",32,35,224,French dairy 
CLIB648,BGT,"Dairy, whey",Dairy,"Alpes, France",no,none,0,2,euploid,heterozygous,"71,410",25.8,174,244,French dairy 
CLIB649,BGV,"Dairy, whey",Dairy,"Alpes, France",no,none,0,2,euploid,heterozygous,"71,232",26.4,174,205,French dairy 
CLIB556,BGH,"Dairy, Saint Maure goat's cheese",Dairy,"Poitou-Charentes, France",no,none,0,2,euploid,heterozygous,"72,003",28.7,132,192,French dairy 
CLIB561,BGN,"Dairy, cheese (camembert)",Dairy,"Normandy, France",no,none,0,2,euploid,heterozygous,"72,229",28.6,128,309,French dairy 
CLIB551,BGC,"Dairy, cheese (camembert)",Dairy,"Normandy, France",no,none,0,2,euploid,heterozygous,"74,785",34.9,10,250,French dairy 
CLIB563,BGQ,"Dairy, cheese (camembert)",Dairy,"Normandy, France",no,none,0,2,euploid,heterozygous,"75,252",35.1,34,305,French dairy 
malade Boisse,CKV,Unknown,"Human, clinical",France,no,none,0,2,euploid,heterozygous,"73,873",33.4,98,232,French dairy 
CBS4456,AFL,Kaffir beer,Beer,South Africa,yes,none,0,1,aneu;+1*8;,homozygous,"58,139",0,401,192,African beer 
CBS4454,AEN,Kaffir beer,Beer,South Africa,no,none,0,2,aneu;+1*1;+1*3;+1*4;,heterozygous,"67,373",23.7,728,207,African beer 
CBS4455,ASC,Kaffir beer,Beer,South Africa,no,none,0,3,aneu;+1*1;,heterozygous,"77,037",43.7,"1,864",240,African beer 
A-6,ANL,Sorghum beer,Beer,Ghana,no,none,0,4,euploid,heterozygous,"86,350",50,"6,635",207,African beer 
A-18,ANM,Sorghum beer,Beer,Ghana,no,none,0,4,euploid,heterozygous,"85,165",48.8,"5,570",211,African beer 
CH02,AVN,Pearl millet beer,Beer,"Abengourou, Ivory Coast",no,none,0,4,euploid,heterozygous,"86,031",47.4,"6,659",292,African beer 
CH06,AVP,Pearl millet beer,Beer,"Abengourou, Ivory Coast",no,none,0,5,aneu;-1*14;,heterozygous,"88,917",51.6,380,204,African beer 
CH10,AVQ,Pearl millet beer,Beer,"Abengourou, Ivory Coast",no,none,0,5,aneu;+1*4;,heterozygous,"90,003",52,376,220,African beer 
CH11,AVR,Pearl millet beer,Beer,"Abengourou, Ivory Coast",no,none,0,5,aneu;-1*15;,heterozygous,"90,171",52.5,475,218,African beer 
CH14,AVS,Pearl millet beer,Beer,"Abengourou, Ivory Coast",no,none,0,5,aneu;+1*12;+1*13;,heterozygous,"91,561",53.6,465,244,African beer 
CH13,AVT,Pearl millet beer,Beer,"Abengourou, Ivory Coast",no,none,0,5,aneu;+1*2;+1*5;,heterozygous,"90,019",51.9,360,229,African beer 
CLIB651,BEK,"Beer leaven for Bili Bili beer, brewery",Beer,Chad,no,none,0,4,euploid,heterozygous,"74,975",35.9,234,242,African beer 
CLIB653,BEM,"Beer leaven for Bili Bili beer, brewery",Beer,Chad,no,none,0,4,euploid,heterozygous,"75,405",36.5,418,217,African beer 
CLIB650,BEI,"Bili Bili beer, brewery",Beer,Chad,no,none,0,3,euploid,heterozygous,"69,615",28.1,35,261,African beer 
CLIB654,BEN,"Beer leaven for Bili Bili beer, brewery",Beer,Chad,no,none,0,3,euploid,heterozygous,"69,397",28.2,34,231,African beer 
CLIB655,BHA,"Beer leaven for Bili Bili beer, brewery",Beer,Chad,no,A,3,3,euploid,heterozygous,"69,408",28.1,18,223,African beer 
MAJ_G,BDN,Plant material,Nature,"Majunga, Madagascar",no,none,0,2,euploid,heterozygous,"66,059",7.7,"7,223",200,African beer 
N26-1-10:7-5(a),CES,Maize dough,Bakery,Ghana,no,none,0,2,aneu;-1*1;,homozygous,"61,039",0,"1,180",143,African beer 
N34:2-4(a),CER,Maize dough,Bakery,Ghana,no,none,0,2,euploid,homozygous,"62,005",0,"1,239",229,African beer 
N134:7-1(a),CET,Maize dough,Bakery,Ghana,no,none,0,2,aneu;-1*9;,homozygous,"61,876",0,"1,284",232,African beer 
DBVPG1848,BPI,Tecc,Unknown,Ethiopia,no,none,0,2,aneu;+1*1;+1*12;,heterozygous,"71,062",49.3,267,174,UN
DBVPG1895,BPN,Grape must treated with pesticides,Wine,Italy,no,A,35,2,euploid,heterozygous,"70,544",45.8,211,218,UN
YJM1463,SACE_YDB,White Tecc,Unknown,Africa,no,A,117,2,euploid,homozygous,"56,625",0,121,184,UN
CBS422a,AAB,Beer,Beer,"Odessa, Ukraine",yes,A,32,1,euploid,homozygous,"46,688",0,400,206,Mosaic beer 
NCYC_88,CBN,Ale strain,Beer,UK,no,A,34,2,euploid,homozygous,"47,679",0,443,229,Mosaic beer 
CBS7539,AQG,Turbid beer,Beer,"Plovdiv, Bulgaria",no,B,89,2,euploid,heterozygous,"54,822",26.9,893,221,Mosaic beer 
6.2_WLP570,CFF,Carlsberg Beer,Beer,Belgium,no,A,76,2,euploid,heterozygous,"59,242",38.3,926,254,Mosaic beer 
CBS7371,AFB,Brewery,Beer,UK,yes,A,26,1,euploid,homozygous,"48,529",0,232,224,Mosaic beer 
CBS6503,AFA,Brewery,Beer,UK,no,A,27,2,aneu;-1*16;,homozygous,"47,264",0,295,203,Mosaic beer 
CBS6505,AFP,Brewery (Killer strain responsible for death of brewing yeast),Beer,UK,no,A,57,2,euploid,heterozygous,"48,355",0.5,213,243,Mosaic beer 
CBS7957,AQH,Factory producing cassava flour,Industrial,"Sao Paulo, Brazil",no,A,289,3,aneu;+1*3;,heterozygous,"62,227",77,537,220,Mosaic beer 
YJM193,SACE_YAB,Unknown,Distillery,NA,no,A,28,2,euploid,homozygous,"49,322",0,105,42,Mosaic beer 
CLIB382_1b,AAR,Beer,Beer,Ireland,yes,A,27,1,euploid,homozygous,"48,456",0,20,216,Mosaic beer 
CBS7958,AEA,Factory producing cassava flour,Industrial,"Sao Paulo, Brazil",yes,A,2,1,euploid,homozygous,"48,312",0,3,209,Mosaic beer 
DBVPG6590,BRM,Alcohol production tank,Distillery,Brazil,no,A,19,1,euploid,homozygous,"48,201",0,7,211,Mosaic beer 
CBS1782,AEQ,Super-attenuated beer,Beer,Japan,yes,A,3,1,euploid,homozygous,"48,790",0,15,227,Mosaic beer 
YJM271,SACE_YAG,Brewery,Beer,NA,no,A,58,2,euploid,homozygous,"48,209",0,20,52,Mosaic beer 
CLIB272_2,AAQ,Beer,Beer,USA,yes,A,33,1,euploid,homozygous,"47,515",0,457,165,Mosaic beer 
CBS4255,ASB,Sputum,"Human, clinical",NA,no,A,55,2,euploid,heterozygous,"63,288",46.4,"1,010",247,Mosaic beer 
CBS382,APP,Beer,Beer,"Brazil, Rio de Janeiro",no,B,129,3,aneu;+1*9;+1*10;+1*12;,heterozygous,"61,961",36,"1,728",230,Mosaic beer 
1175,CPD,Spoiled beer,Beer,NA,no,A,194,2,aneu;+1*8;,heterozygous,"53,692",13.5,"1,013",230,Mosaic beer 
CBS1463,AIG,Beer,Beer,NA,yes,A,29,1,euploid,homozygous,"47,777",0,529,172,Mosaic beer 
CBS1398,ARE,Leaf of Eucalyptus sp.,Tree,NA,no,A,35,2,aneu;+1*2;+1*3;+1*6;+4*9;+1*12;+1*14;+1*15;,heterozygous,"58,511",27.4,708,244,Mosaic beer 
YJM1478,SACE_YDD,Kefyr,Fermentation,"Missouri, USA",no,A,50,2,euploid,homozygous,"51,763",0,218,331,Mosaic beer 
CBS7993,AFQ,Fresh water,Water,"Rio de Janeiro, Tijuca National Forest, Cushvara River, Brazil",yes,A,22,1,euploid,homozygous,"52,097",0,295,243,M2
UFRJ_50613-2D(a),CDM,Cushvara river,Water,"Rio de Janeiro, Brazil",no,A,20,2,euploid,homozygous,"50,869",0,212,260,M2
YJM1383,SACE_YCF,Coconut,Fruit,Philippines,no,A,127,2,euploid,homozygous,"47,877",0,536,392,M2
UCD_40-346,CFT,"Spoiled Adriatic orchard figs, (1939)",Fruit,"Fresno area,  California",no,B,203,2,aneu;+1*5;+1*9;,heterozygous,"60,874",43.6,717,246,M2
CBS2970,AER,Blackstrap molasses,Industrial,"San Jose sugar mill, Rio Piedras, Puerto Rico",yes,B,17,1,aneu;+1*2;+1*4;+1*8;+1*9;,heterozygous,"52,079",11.4,"1,107",218,M2
#33,BCV,Evolution canyon,Nature,Israel,no,B,86,2,euploid,heterozygous,"52,520",19.6,12,219,M2
#35,BDB,Evolution canyon,Nature,Israel,no,B,102,2,euploid,heterozygous,"52,428",18.8,23,215,M2
#13,BDD,Evolution canyon,Nature,Israel,no,B,65,2,euploid,heterozygous,"53,787",25.3,31,223,M2
#34,BDA,Evolution canyon,Nature,Israel,no,B,64,2,aneu;+1*1;,heterozygous,"52,902",25.2,2,200,M2
#14,BDE,Evolution canyon,Nature,Israel,no,B,118,3,aneu;-1*3;,heterozygous,"55,880",31.4,15,203,M2
#59,BDH,Evolution canyon,Nature,Israel,no,B,76,2,euploid,heterozygous,"54,238",26.1,2,217,M2
#60,BDI,Evolution canyon,Nature,Israel,no,B,71,2,aneu;+1*1;,heterozygous,"54,127",25.1,15,233,M2
#63,BDK,Evolution canyon,Nature,Israel,no,B,29,2,aneu;+1*1;,homozygous,"47,842",0,667,219,M2
YJM1433,SACE_YCT,Wine,Wine,France,no,A,49,2,euploid,homozygous,"49,355",0,281,46,M2
YJM1355,SACE_YCC,Molasses,Industrial,"Illinois, USA",no,B,142,2,euploid,homozygous,"52,252",0,908,334,M2
CLIB1070,BHG,"Cider brewery, dry cider",Cider,"Lower Normandy, France",no,A,8,2,euploid,heterozygous,"57,984",37.6,246,271,M2
CLIB1071,BHH,"Cider brewery, dry cider",Cider,"Lower Normandy, France",no,A,34,2,euploid,homozygous,"47,740",0,54,256,M2
CLIB1072,BHI,"Cider brewery, dry cider",Cider,"Lower Normandy, France",no,A,17,2,euploid,heterozygous,"47,149",0.3,40,246,M2
273614N,SACE_MAA,"Royal Victoria Infirmary, Newcastle UK, Galloway A Clinical isolate (Fecal) Mackenzie D","Human, clinical","Newcastle, UK",no,B,43,2,euploid,homozygous,"48,607",0,25,49,M2
YJM1450,SACE_YCZ,Clinical,"Human, clinical","Kansas, USA",no,B,82,2,euploid,homozygous,"49,803",0,28,75,M2
CBS1252,AFF,Bakery,Bakery,France,yes,B,23,1,euploid,homozygous,"49,046",0,34,213,Mixed origin 
CBS1236-a,AAL,Bakery,Bakery,France,no,B,107,2,aneu;-1*6;,heterozygous,"66,644",51.4,37,188,Mixed origin 
CLIB192_1b,AAM,Bakery,Bakery,France,yes,B,19,1,euploid,homozygous,"50,479",0,28,188,Mixed origin 
UWOPS83-883-2,ANP,"Drosophila sp. from Opuntia stricta,",Insect,Navassa Island,no,B,29,2,euploid,heterozygous,"69,442",61.5,36,205,Mixed origin 
CBS1487,AHV,Brewery,Beer,NA,yes,B,1,1,aneu;+1*1;+1*11;,heterozygous,"50,020",5.4,26,192,Mixed origin 
CECT10131,ATS,Flower,Flower,Spain,no,B,185,2,euploid,heterozygous,"66,671",53.1,5,248,Mixed origin 
1663,BBP,Flower of Centaurea alba,Flower,Spain,no,B,92,2,euploid,heterozygous,"66,391",53,4,207,Mixed origin 
CECT10331:9-1,CDR,Flowers of Centaurea alba,Flower,Spain,no,B,42,2,euploid,homozygous,"51,780",0,26,231,Mixed origin 
NCYC_2925,BMG,Human sputum,"Human, clinical",Norway,no,B,77,3,aneu;+1*1;,heterozygous,"73,522",62.3,74,334,Mixed origin 
SBE-1C,CHL,Bakery,Bakery,Northern Europe,no,B,40,2,aneu;+1*2;+1*13;,heterozygous,"67,514",52,19,184,Mixed origin 
Y6_b,ADP,Unknown,Unknown,French Guiana,no,B,90,2,aneu;+2*2;+2*9;+2*11;,heterozygous,"50,450",6.2,5,267,Mixed origin 
SJ6L01,AMK,Leaf of Cunninghamia lanceolata,Tree,"Tuchih, Nantou, Taiwan",no,B,33,3,aneu;-1*7;,heterozygous,"76,864",66.2,9,232,Mixed origin 
SJ5L11,AML,Leaf of Acacia dealbata,Tree,"Tuchih, Nantou, Taiwan",no,B,71,3,euploid,heterozygous,"75,678",65.5,9,204,Mixed origin 
SJ1L04,AMI,Leaf of Podocarppus macrophyllus,Tree,"Yuchih, Nantou, Taiwan",no,B,47,3,aneu;+1*1;,heterozygous,"78,948",68.2,10,251,Mixed origin 
SJ7L01,AMG,Leaf of Ardisia cornudentata,Tree,"Tuchih, Nantou, Taiwan",no,B,60,3,euploid,heterozygous,"78,714",68.7,1,189,Mixed origin 
SJ5L15,AMQ,Leaf of Acacia dealbata,Tree,"Tuchih, Nantou, Taiwan",no,B,66,3,euploid,heterozygous,"78,429",68,11,191,Mixed origin 
YS10(E),APK,Baker's yeast,Bakery,South Africa,no,B,54,3,euploid,heterozygous,"79,106",68.8,8,240,Mixed origin 
YS19,APN,"type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001",Bakery,Philippines,no,B,26,3,aneu;+1*1;,heterozygous,"79,007",67.4,10,272,Mixed origin 
Ponton 13,CIE,Mouth,"Human, clinical",Spain,no,B,49,3,aneu;+1*1;-1*3;-1*8;-1*9;-1*10;-1*13;,heterozygous,"72,027",60,14,212,Mixed origin 
CBS2973,AEM,Beer wort,Beer,NA,yes,B,9,1,aneu;+1*11;,heterozygous,"50,189",6,34,201,Mixed origin 
CBS1464,AFT,Infected nail of 4 yo girl,"Human, clinical",Austria,no,B,12,4,euploid,homozygous,"51,260",0,13,221,Mixed origin 
CBS8292,AQI,Seawater,Water,Sweden,no,B,117,2,euploid,heterozygous,"65,679",56.2,24,202,Mixed origin 
CBS8291,AFE,Seawater,Water,Sweden,no,B,84,2,euploid,heterozygous,"62,805",42.2,63,188,Mixed origin 
CECT10120,ATR,Fruit,Fruit,Spain,no,B,64,2,euploid,heterozygous,"64,234",48.7,66,199,Mixed origin 
CBS7764,AFC,Salmo gairdneri (rainbow trout),Nature,"Goteborg, Sweden",no,B,2,2,aneu;+1*7;-1*14;,heterozygous,"66,068",48.2,23,294,Mixed origin 
YS15,APM,"type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001",Bakery,Korea,no,B,31,2,aneu;+1*9;,heterozygous,"64,114",46,32,215,Mixed origin 
YS20,API,"type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001",Bakery,Korea,no,B,30,2,aneu;+1*8;+1*9;,heterozygous,"68,623",54,7,224,Mixed origin 
CLIB340,ASL,Bakery levain,Bakery,"Anatolia, Turkey",no,B,177,2,aneu;+1*2;+1*9;,heterozygous,"66,262",46.5,7,243,Mixed origin 
YS22(E),BTF,"type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001",Bakery,NA,no,B,31,2,aneu;+1*1;+1*9;,heterozygous,"66,945",47.3,5,407,Mixed origin 
B1,ASP,Unknown,Unknown,France,no,B,307,2,euploid,heterozygous,"71,670",61.5,28,205,Mixed origin 
#23,BCR,Evolution canyon,Nature,Israel,no,B,256,4,aneu;+1*8;,heterozygous,"85,985",76.5,63,215,Mixed origin 
#03,BCS,Evolution canyon,Nature,Israel,no,B,64,2,euploid,heterozygous,"66,063",54.3,2,229,Mixed origin 
#05,BCT,Evolution canyon,Nature,Israel,no,B,56,2,euploid,heterozygous,"64,918",50,4,248,Mixed origin 
CBS2361,AGK,Trinidadian cane sugar,Nature,UK,yes,B,5,1,euploid,homozygous,"51,923",0,21,405,Mixed origin 
CBS1385,AGE,Bakery,Bakery,NA,no,B,51,2,aneu;-1*6;,heterozygous,"65,234",47.9,16,211,Mixed origin 
79,BTC,Fleischmann baker's yeast.,Bakery,NA,no,B,86,2,euploid,heterozygous,"64,470",44.5,30,235,Mixed origin 
DBVPG6861,ABV,Poluted stream,Water,"Tijuca forest, Rio de Janeiro, Brazil",no,B,45,3,aneu;+1*1;+1*9;,heterozygous,"84,868",73,36,241,Mixed origin 
21-4-124,ALV,"Fruit of plum tree (Prunus domestica L., 'Stanley')",Fruit,"Male Zaluzie, Slovakia",no,B,20,3,aneu;+1*1;+1*7;+1*9;+1*11;,heterozygous,"85,367",74.2,16,195,Mixed origin 
CCY_21-4-88,BBC,Fruitbody of mushroom Xerocomus badius (Fr.) Gilb.,Fruit,"Laksarska Nova Ves, Slovakia",no,B,63,3,aneu;+1*7;,heterozygous,"83,317",71,31,320,Mixed origin 
SJ5L13,AMN,Leaf of Wendlandia formosana,Tree,"Tuchih, Nantou, Taiwan",no,B,29,4,euploid,heterozygous,"92,215",77.6,47,253,Mixed origin 
3.4_Safbrew_T-58,CFP,Carlsberg Beer,Beer,NA,no,B,110,4,euploid,heterozygous,"93,432",78.5,6,225,Mixed origin 
CCY_21-4-102,BBF,River water (Danube),Water,"Bratislava, Slovakia",no,B,71,2,euploid,heterozygous,"68,837",49.6,35,227,Mixed origin 
CLIB326_1,AAP,Bakery,Bakery,Australia,no,B,36,2,euploid,heterozygous,"68,539",51,19,197,Mixed origin 
21-4-103,ALN,River water (Morava),Water,"Bratislava, Deninska Nova Ves, Slovakia",no,B,23,2,euploid,heterozygous,"71,303",53.9,23,218,Mixed origin 
